N,MARCA,MODELO,ano,KILOMETRAJE,cilindrada,combustible,sis_entrega,NO,PCV_NAFTA,EGR,NO,CAT
154,VOLKSWAGEN,FOX,2011,"90,000",1.6,NAFTA,MULTIPUNTO,,,,,
155,RENAULT,CLIO,2012,"113,000",1.2,NAFTA,MULTIPUNTO,,,,NO,
156,PEUOGEOT,408,2014,"83,000",2,NAFTA,MULTIPUNTO,,,,NO,
157,VOLKSWAGEN,SURAN,2006,"150,000",1.6,GAS (80%),MULTIPUNTO,,,,,
158,RENAULT,CLIO,2011,"94,000",1.2,NAFTA,MULTIPUNTO,,,,,
159,VOLKSWAGEN,GOL,2006,"148,000",1.6,GAS (100%),MULTIPUNTO,,,,,
160,RENAULT,ONIX,2007,"180,000",1.6,NAFTA,MULTIPUNTO,,,,,
161,FORD,SIERRA XR4,2014,"120,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
162,FIAT,ESTRADA,2018,"7,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
163,PEUGEOT,207,2013,"38,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
164,CITROEN,SARA,2006,"150,000",2,NAFTA,MULTIPUNTO,,,,,
165,PEUGEOT,208,2017,"9,500",1.4,NAFTA,MULTIPUNTO,,,,SI,
166,CHEVROLET,CRUZE,2013,"90,000",2,DIESEL,COMMON RAIL,,NO,SI,NO,
167,VOLKSWAGEN,UP,2015,"70,000",1,NAFTA,MULTIPUNTO,,,,SI,
167,KIA,PICANTO,2010,"85,000",1.6,NAFTA,MULTIPUNTO,,NO,,SI,si
167,PEUGOT,308,2012,"30,000",1.6,NAFTA,MULTIPUNTO,,,,SI,si
167,PEUOGEOT,207,2017,"14,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
171,FORD,FIESTA,2009,"95,000",1.6,NAFTA,MULTIPUNTO,,,,,
172,TOYOTA,COROLLA,2013,"79,000",2,NAFTA,MULTIPUNTO,,,,NO,
173,PEUGEOT,208,2015,"15,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
174,CHEVROLET,CRUZE,2013,"95,000",2,DIESEL,COMMON RAIL,,NO,SI,NO,
175,RENAULT,HEAVY DUTY,2006,"150,000",3.9,DIESEL,INYECCION DIRECTA,,NO,NO,NO,
176,FORD,FIESTA,1999,"450,000",1.3,NAFTA,MONOPUNTO,,,,NO,
177,CHEVROLET,CORSA CLASSIC,2015,"83,000",1.4,GAS (85%),MULTIPUNTO,TAXI,,,NO,
178,FORD,FIESTA,2016,"41,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
